  words count
1           0
                                 words count
1                                      78125
2                                    -    11
3                                    *    32
4                                  ***     3
5                              ***here     2
6                           ***strange     1
7                                `aid'     5
8                               `aids'     1
9                            `burgage'     2
10                           `escheat'     2
11                          `escheats'     1
12                          `fee-farm'     3
13                               `fee'     7
14                              `fees'     2
15                            `honour'     1
16                            `relief'     4
17                           `scutage'     2
18                            `socage'     2
19                                   0     4
20                                   1    27
21                                  10     9
22                                 100     4
23                                100s     2
24                                  11    13
25                                  12     8
26                                1215     2
27                                  13    11
28                                  14     7
29                                  15     6
30                                  16     6
31                                  17     6
32                                  18     4
33                                  19     3
34                                   2    16
35                                  20     4
36                                  21     4
37                                  22     4
38                                  23     3
39                                  24     3
40                                  25     3
41                                  26     3
42                                  27     3
43                                  28     5
44                                  29     3
45                                   3    16
46                                  30     4
47                                  31     3
48                                  32     4
49                                  33     3
50                                  34     6
51                                  35     6
52                                  36     3
53                                  37     3
54                                  38     4
55                                  39     4
56                                   4    15
57                                  40     3
58                                  41     3
59                                  42     3
60                                  43     4
61                                  44     3
62                                  45     3
63                                  46     3
64                                  47     4
65                                  48     3
66                                  49     3
67                                   5    16
68                                  50     4
69                                  51     2
70                                  52     2
71                                  53     3
72                                  54     2
73                                  55     2
74                                  56     2
75                                  57     2
76                                  58     4
77                                  59     2
78                                   6    13
79                                  60     2
80                                  61     3
81                                  62     2
82                                  63     3
83                                   7    12
84                                   8    13
85                                   9    10
86                                   a  6390
87                             abandon     5
88                              abbeys     6
89                               abbot     1
90                              abbots     6
91                                able    94
92                           abolished     5
93                               about   438
94                               above    88
95                         above-named     1
96                              abroad    25
97                             absence    14
98                            accepted    15
99                              accord     4
100                         accordance    16
101                          according    64
102                        accordingly    17
103                        achievement     7
104                           actually    14
105                                 ad     3
106                           addition    15
107                         additional    10
108                     administration     3
109                        advancement     7
110                             advice    19
111                         afforested     2
112                          aforesaid    35
113                          aforested     1
114                              after   447
115                         afterwards    29
116                            against   109
117                                age   101
118                                aid    34
119                               aids     3
120                               alan     6
121                                ale     3
122                          alexander    13
123                                all  1402
124                              allay     2
125                           allaying     2
126                         allegiance    12
127                              allow    10
128                            allowed    17
129                              alone    93
130                              along    69
131                               also   169
132                           although    50
133                         altogether    21
134                             always   337
135                                 am   172
136                          amendment     3
137                             amends     3
138                            amerced    12
139                        amercements     4
140                              among   126
141                                 an   864
142                          ancestors     6
143                            ancient    42
144                                and 10117
145                             andrew     3
146                              anent     2
147                              anjou     3
148                            another   206
149                             answer    32
150                         answerable     5
151                                any   537
152                             anyone    30
153                           anything    94
154                             anyway     4
155                           apparent    21
156                             appeal    22
157                             appear    18
158                           appeared   104
159                            appears    19
160                              apply    10
161                            appoint     4
162                          appointed    13
163                        appropriate     4
164                          aquitaine     3
165                         archbishop    20
166                        archbishops     6
167                                are   973
168                              arise    14
169                             arisen     7
170                               arms    34
171                              arose    15
172                             around    57
173                           arrested     8
174                             arrows     6
175                           articles    12
176                            arundel     3
177                                 as  2432
178                              aside    12
179                             assail     1
180                          assailing     2
181                           assessed     2
182                          assessing     2
183                         assessment     2
184                             assign     6
185                           assigned     5
186                             assize     1
187                            assizes     5
188                                 at  1675
189                                ath     1
190                              athee     2
191                             attach     6
192                           attached    16
193                         attendants     7
194                           attended     8
195                            aymeric     3
196                                  b     6
197                            bailiff    10
198                           bailiffs    14
199                          bailiwick     2
200                         bailiwicks     2
201                             banish     6
202                              banks    16
203                              baron    13
204                            baron's     3
205                            baroncy     1
206                           baronies     3
207                             barons    67
208                             barony     7
209                             basset     6
210                               bath     7
211                                 be  1758
212                                be'     1
213                               bear    31
214                            bearing    10
215                            because    96
216                             become    56
217                               been   741
218                             before   349
219                          beginning    52
220                              begun    26
221                             behind    57
222                              being   240
223                            belongs     8
224                              below    47
225                           benedict     3
226                           benefice     3
227                            benefit    11
228                               best   103
229                             better   101
230                            between   141
231                             beyond    54
232                             bishop    17
233                            bishops    13
234                         bitterness     5
235                              blood    23
236                             bodies    24
237                               body    50
238                               bond     5
239                               born    60
240                           boroughs     3
241                           borrowed     4
242                               both   127
243                           boulogne     8
244                              bound    28
245                             bowmen     1
246                            bridges     8
247                              bring    50
248                             broken    26
249                              brood     2
250                            brother    32
251                           brothers    14
252                            brought    72
253                              build    14
254                             burage     1
255                            burgage     5
256                              burgh     3
257                           business    85
258                                but  1500
259                             buying     4
260                                 by  1538
261                             called    75
262                                can   382
263                             cannot   123
264                         canterbury     9
265                           cardinal     9
266                            carried    53
267                              carry    30
268                              carta     5
269                              carts     6
270                              cases    25
271                             castle     6
272                       castle-guard     4
273                            castles     8
274                          catalogue     3
275                              catch    14
276                              cause    62
277                             caused    18
278                             causes    14
279                          chanceaux     3
280                         characters     8
281                            charter    11
282                           charters    12
283                           chattels     8
284                              chief    52
285                           children   122
286                             choose    18
287                             chosen    15
288                             church   183
289                           church's     2
290                             cigogn     1
291                            cigogne     5
292                             cities     6
293                               city    57
294                              claim     7
295                             claims     8
296                             clause     6
297                             clergy    13
298                              clerk     4
299                              cloth    11
300                              coast    20
301                               come   244
302                              comes    58
303                            command    19
304                           commands     8
305                            commits     1
306                          committed    11
307                             common    36
308                           commonly    16
309                          community    20
310                             compel     8
311                          compelled    15
312                       compensation     4
313                           complain     6
314                          complaint     3
315                         complaints     3
316                           complete    17
317                         completely    25
318                          concerned    10
319                         concerning    35
320                           concerns    10
321                        concessions    12
322                          concurred     3
323                         conditions    42
324                            confirm     3
325                          confirmed    12
326                          connected    13
327                          connexion     1
328                            consent    16
329                          constable    13
330                         constables     3
331                       constraining     3
332                            contain     5
333                          contained    15
334                           contains     5
335                        contentment     5
336                           continue    17
337                          continued    58
338                          convicted     4
339                               corn    12
340                           coroners     3
341                            correct    16
342                          corrected     5
343                    correspondingly     1
344                              could   500
345                            counsel    19
346                              count    38
347                           counties     3
348                            country   190
349                             county    32
350                             course   154
351                              court    66
352                             courts    12
353                           coventry     3
354                            created     7
355                           credible     3
356                              cross    18
357                       cross-bowmen     1
358                        crossbowmen     1
359                              crown    26
360                            crusade     3
361                           crusader     3
362                          crusaders     6
363                             custom    27
364                          customary     5
365                            customs    33
366                         d'ancester     1
367                         d'ancestor     2
368                          d'aubigny     2
369                             damage     4
370                            darrein     3
371                               date     8
372                            daubeny     1
373                           daughter    35
374                                day   351
375                               days   182
376                                 de   245
377                               dead    44
378                              dealt     3
379                              death    81
380                               debt    40
381                             debtor    16
382                           debtor's     2
383                            debtors     1
384                              debts     9
385                           deceased    15
386                             deceit     1
387                            decided    26
388                           decision    13
389                            declare     5
390                           declared     4
391                             decree     3
392                               deem     3
393                            defense     2
394                             degree    39
395                              delay    14
396                          delivered    10
397                            demands    14
398                            demesne     4
399                             denied     9
400                               deny     9
401                           departed     7
402                            deprive     3
403                           deprived    18
404                             desire    41
405                            desires    22
406                           desirous    12
407                             desist     6
408                          destroyed     6
409                        destruction    12
410                           detained     6
411                         determined    38
412                                did   232
413                             didn't   135
414                                die    30
415                               died    29
416                               dies     7
417                          different   129
418                         difficulty    38
419                         diminished    13
420                           directly    24
421                   disafforestation     2
422                      disafforested     3
423                       disafforsted     1
424                           disagree     1
425                       disagreement     3
426                          discharge     8
427                         discharged     5
428                        discharging     1
429                            discord     2
430                         discovered    40
431                           discreet     4
432                         discretion     3
433                      disparagement     2
434                       dispossessed     6
435                            dispute    20
436                          disseised     7
437                          disseisin     3
438                           distrain     4
439                         distrained     5
440                           distress     5
441                        distributed    14
442                                 do   402
443                               does   117
444                               done   122
445                              dower     9
446                              dozen     6
447                             dublin     7
448                                due    44
449                               dues     2
450                               duke    15
451                               duly     2
452                             during   108
453                             duties    21
454                               duty    22
455                              dwell    10
456                               dyed     3
457                               each   242
458                               earl    17
459                             earl's     2
460                              earls    11
461                             easter     4
462                     ecclesiastical    16
463                             effect    37
464                          efficient     8
465                            efforts    29
466                             either    85
467                             eldest    18
468                              elect     5
469                            elected     6
470                          elections     8
471                               ells     3
472                               else    53
473                          elsewhere    11
474                           enclosed     1
475                              ended     3
476                        endisseised     1
477                               ends    11
478                          endurance     5
479                           engelard     3
480                            england    73
481                            english   123
482                         englishmen     3
483                             enjoin     1
484                              enjoy    15
485                            enjoyed    15
486                            enquiry     3
487                             enroll     1
488                              enter    34
489                             entire    20
490                           entirely    51
491                           entirety     3
492                          entrusted     2
493                              entry     3
494                             equals     8
495                              error     7
496                             errors     4
497                            escheat     2
498                           escheats     2
499                          essential     8
500                        established    12
501                               even   262
502                              event    12
503                               ever   187
504                              every   382
505                           everyone     3
506                         everything    57
507                           evidence    13
508                            evident    28
509                               evil    25
510                              exact    14
511                            exacted     2
512                          exactions     1
513                            exactly    27
514                         exaltation     4
515                             except   100
516                           excepted     1
517                          excepting     7
518                             excuse     7
519                            excused     2
520                          execution    18
521                          executors     4
522                            exhibit     3
523                             exiled     5
524                               exit     8
525                         expedition    11
526                             expiry     2
527                             extent    20
528                               fact    82
529                               fail    11
530                              faith    33
531                           faithful    13
532                         faithfully     9
533                               fall    52
534                             fallen    28
535                              falls    13
536                                far   168
537                             father    74
538                            fathers     6
539                              fault     7
540                               fear    77
541                                fee    13
542                           fee-farm     8
543                               fees     2
544                             felony     3
545                             feudal     5
