1	Afghanistan	38,041,754	652,860	58
2	Albania	2,880,917	27,400	105
3	Algeria	43,053,054	2,381,740	18
4	Andorra	77,142	470	164
5	Angola	31,825,295	1,246,700	26
6	Antigua and Barbuda	97,118	440	221
7	Argentina	44,780,677	2,736,690	16
8	Armenia	2,957,731	28,470	104
9	Australia	25,203,198	7,682,300	3
10	Austria	8,955,102	82,409	109
11	Azerbaijan	10,047,718	82,658	122
12	Bahamas	389,482	10,010	39
13	Bahrain	1,641,172	760	2,159
14	Bangladesh	163,046,161	130,170	1,253
15	Barbados	287,025	430	668
16	Belarus	9,452,411	202,910	47
17	Belgium	11,539,328	30,280	381
18	Belize	390,353	22,810	17
19	Benin	11,801,151	112,760	105
20	Bhutan	763,092	38,117	20
21	Bolivia	11,513,100	1,083,300	11
22	Bosnia and Herzegovina	3,301,000	51,000	65
23	Botswana	2,303,697	566,730	4
24	Brazil	211,049,527	8,358,140	25
25	Brunei	433,285	5,270	82
26	Bulgaria	7,000,119	108,560	64
27	Burkina Faso	20,321,378	273,600	74
28	Burundi	11,530,580	25,680	449
29	Côte d'Ivoire	25,716,544	318,000	81
30	Cabo Verde	549,935	4,030	136
31	Cambodia	16,486,542	176,520	93
32	Cameroon	25,876,380	472,710	55
33	Canada	37,411,047	9,093,510	4
34	Central African Republic	4,745,185	622,980	8
35	Chad	15,946,876	1,259,200	13
36	Chile	18,952,038	743,532	25
37	China	1,433,783,686	9,388,211	153
38	Colombia	50,339,443	1,109,500	45
39	Comoros	850,886	1,861	457
40	Congo (Congo-Brazzaville)	5,380,508	341,500	16
41	Costa Rica	5,047,561	51,060	99
42	Croatia	4,130,304	55,960	74
43	Cuba	11,333,483	106,440	106
44	Cyprus	1,198,575	9,240	130
45	Czechia (Czech Republic)	10,689,209	77,240	138
46	Democratic Republic of the Congo	86,790,567	2,267,050	38
47	Denmark	5,771,876	42,430	136
48	Djibouti	973,560	23,180	42
49	Dominica	71,808	750	96
50	Dominican Republic	10,738,958	48,320	222
51	Ecuador	17,373,662	248,360	70
52	Egypt	100,388,073	995,450	101
53	El Salvador	6,453,553	20,720	311
54	Equatorial Guinea	1,355,986	28,050	48
55	Eritrea	3,497,117	101,000	35
56	Estonia	1,325,648	42,390	31
57	Eswatini (fmr. "Swaziland")	1,148,130	17,200	67
58	Ethiopia	112,078,730	1,000,000	112
59	Fiji	889,953	18,270	49
60	Finland	5,532,156	303,890	18
61	France	65,129,728	547,557	119
62	Gabon	2,172,579	257,670	8
63	Gambia	2,347,706	10,120	232
64	Georgia	3,996,765	69,490	58
65	Germany	83,517,045	348,560	240
66	Ghana	30,417,856	227,540	134
67	Greece	10,473,455	128,900	81
68	Grenada	112,003	340	329
69	Guatemala	17,581,472	107,160	164
70	Guinea	12,771,246	245,720	52
71	Guinea-Bissau	1,920,922	28,120	68
72	Guyana	782,766	196,850	4
73	Haiti	11,263,077	27,560	409
74	Holy See	799	0	1,998
75	Honduras	9,746,117	111,890	87
76	Hungary	9,684,679	90,530	107
77	Iceland	339,031	100,250	3
78	India	1,366,417,754	2,973,190	460
79	Indonesia	270,625,568	1,811,570	149
80	Iran	82,913,906	1,628,550	51
81	Iraq	39,309,783	434,320	91
82	Ireland	4,882,495	68,890	71
83	Israel	8,519,377	21,640	394
84	Italy	60,550,075	294,140	206
85	Jamaica	2,948,279	10,830	272
86	Japan	126,860,301	364,555	348
87	Jordan	10,101,694	88,780	114
88	Kazakhstan	18,551,427	2,699,700	7
89	Kenya	52,573,973	569,140	92
90	Kiribati	117,606	810	145
91	Kuwait	4,207,083	17,820	236
92	Kyrgyzstan	6,415,850	191,800	33
93	Laos	7,169,455	230,800	31
94	Latvia	1,906,743	62,200	31
95	Lebanon	6,855,713	10,230	670
96	Lesotho	2,125,268	30,360	70
